OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Hospitalization_Rate,Testing_Rate
96,Inner Mongolia,China,1610296229000,44.0935,113.9448,366,1,349,16,,1.44435674822415,,,0.273224043715847,15615,CHN,,
580,Cayman Islands,United Kingdom,1610296229000,19.3133,-81.2546,359,2,311,46,,546.256847230676,,,0.557103064066852,136,CYM,,
109,Tianjin,China,1610296229000,39.3054,117.323,320,3,303,14,,2.05128205128205,,,0.9375,15627,CHN,,
57,Nunavut,Canada,1610296229000,70.2998,-83.1076,266,1,265,0,,685.920577617328,,,0.37593984962406,12416,CAN,,
87,Guangxi,China,1610296229000,23.8298,108.7881,264,2,261,1,,0.535931790499391,,,0.757575757575758,15607,CHN,,
6,Tasmania,Australia,1610296229000,-42.8821,147.3272,234,13,221,0,,43.6974789915966,,,5.55555555555556,3606,AUS,,
273,Shimane,Japan,1610296229000,35.07076,132.554064,233,0,204,29,,34.5519955631086,,,0,39237,JPN,,
112,Yunnan,China,1610296229000,24.974,101.487,230,2,219,9,,0.476190476190476,,,0.869565217391304,15630,CHN,,
276,Tokushima,Japan,1610296229000,33.919178,134.242091,229,10,188,31,,31.4570377910291,,,4.36681222707424,39240,JPN,,
107,Shanxi,China,1610296229000,37.5777,112.2922,226,0,223,3,,0.607853684776762,,,0,15625,CHN,,
157,Saint Barthelemy,France,1610296229000,17.9,-62.8333,206,1,172,33,,2083.96560445119,,,0.485436893203884,652,BLM,,
319,"Bonaire, Sint Eustatius and Saba",Netherlands,1610296229000,12.1784,-68.2385,196,3,180,13,,747.492467869265,,,1.53061224489796,535,BES,,
85,Gansu,China,1610296229000,35.7518,104.2861,182,2,180,0,,0.690178232840349,,,1.0989010989011,15605,CHN,,
237,Akita,Japan,1610296229000,39.748679,140.408228,173,1,133,39,,17.899823071113,,,0.578034682080925,39202,JPN,,
89,Hainan,China,1610296229000,19.1959,109.7453,171,6,165,0,,1.83083511777302,,,3.50877192982456,15609,CHN,,
278,Tottori,Japan,1610296229000,35.359069,133.863619,166,1,86,79,,29.8798685285785,,,0.602409638554217,39242,JPN,,
99,Jilin,China,1610296229000,43.6661,126.1923,157,2,155,0,,0.580621301775148,,,1.27388535031847,15618,CHN,,
88,Guizhou,China,1610296229000,26.8154,106.8748,147,2,145,0,,0.408333333333333,,,1.36054421768707,15608,CHN,,
531,Northern Mariana Islands,US,1610296229000,15.0979,145.6739,125,2,29,94,69,226.679239808501,17554,,1.6,580,MNP,,31833.0190047875
1,Australian Capital Territory,Australia,1610296229000,-35.4735,149.0124,118,3,115,0,,27.5636533520206,,,2.54237288135593,3601,AUS,,
579,British Virgin Islands,United Kingdom,1610296229000,18.4207,-64.64,114,1,95,18,,377.021529913682,,,0.87719298245614,92,VGB,,
505,Grand Princess,US,1610296229000,,,103,3,,100,99999,,,,2.9126213592233,84099999,USA,,
59,Prince Edward Island,Canada,1610296229000,46.5107,-63.4168,102,0,94,8,,64.4924695557607,,,0,12409,CAN,,
3,Northern Territory,Australia,1610296229000,-12.4634,130.8456,90,0,71,19,,36.6449511400651,,,0,3603,AUS,,
102,Ningxia,China,1610296229000,37.2692,106.1655,75,0,75,0,,1.09011627906977,,,0,15620,CHN,,
63,Yukon,Canada,1610296229000,64.2823,-135,70,1,59,10,,170.407517405911,,,1.42857142857143,12412,CAN,,
79,Unknown,Chile,1610296229000,,,53,1,50,2,,,,,1.88679245283019,15217,CHL,,
501,Diamond Princess,US,1610296229000,,,49,0,,49,88888,,,,0,84088888,USA,,
101,Macau,China,1610296229000,22.1667,113.55,46,0,46,0,,7.08409436013688,,,0,446,MAC,,
